url,label,hasPasswordField,multiplePasswordFields,manySensitiveInputs,externalPasswordForm,externalSensitiveForm,autocompleteOffSensitiveForm,hasIframe,manyForms,manyExternalIframes,highExternalLinkRatio,highExternalScriptRatio,manyHiddenSensitiveInputs,brandImpersonation,urgencyWithSensitive,youngDomain7,youngDomain30,youngDomain90,recentDomainChange7,dnsNoAddress,dnsNoNameServers,dnsShortTtl
http://192.168.0.1/login,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
https://account-security-check.example/login,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1
https://paypal-secure-login.example/verify,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1
http://bank-update.example/security/verify,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
https://wallet-airdrop-claim.example/free,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1
https://xn--pple-43d.example/signin,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
https://support-microsoft-login.example/account/update,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1
https://secure-docs-share.example/office365/login,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1
https://google.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.wikipedia.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/login,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://accounts.google.com/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://login.live.com/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://example.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://news.ycombinator.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://openai.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
